,Name,Price,Link,Brand
106,Earthy Route Lyocell Linen Mandarin Shirt in Charm Pink,"₹1,971",https://upcycleluxe.com/products/organic-cotton-shirt-by-earthy-route-for-men,earthy-route
107,Earthy Route Lyocell Linen Mandarin Shirt in Military Green,"₹1,971",https://upcycleluxe.com/products/eco-conscious-men-shirt,earthy-route
108,Earthy Route Lyocell Linen Floral Sleeveless Dress in Yellow Marigold,"₹2,430",https://upcycleluxe.com/products/yellow-marigold-floral-sleeveless-dress-in-lyocell-linen,earthy-route
109,Earthy Route Tencel™ Lyocell Linen Half Sleeve Shirt with Green Lakeer,"₹1,701",https://upcycleluxe.com/products/earthy-route-organic-cotton-men-shirt,earthy-route
110,Earthy Route Snow White · Full Sleeve Shirt,"₹2,061",https://upcycleluxe.com/products/earthy-route-eco-fabric-shirt-for-men-online,earthy-route
111,Earthy Route Rust Orange · Mandarin Collar Shirt,"₹1,971",https://upcycleluxe.com/products/sustainable-fashionable-men-shirt-online,earthy-route
112,Earthy Route Half Sleeve Shirt in TENCEL™ Lyocell Linen | Peppercorn Brown,"₹1,701",https://upcycleluxe.com/products/cotton-men-shirt-by-earthy-route,earthy-route
113,Earthy Route Half Sleeve Mandarin Collar Shirt in TENCEL™ Lyocell Linen | Charm Pink,"₹1,701",https://upcycleluxe.com/products/natural-cotton-half-sleeve-men-shirt-by-earthy-route,earthy-route
114,Earthy Route Half Sleeve Mandarin Collar Shirt in TENCEL™ Lyocell Linen | Slate Grey,"₹1,701",https://upcycleluxe.com/products/tencel-fabric-men-shirt-online-india,earthy-route
115,Earthy Route Half Sleeve Mandarin Collar Shirt in TENCEL™ Lyocell Linen | Snow White,"₹1,701",https://upcycleluxe.com/products/buy-organic-cotton-men-shirt-online,earthy-route
116,Earth Republic 100% Cotton Ikat Sable Handloom Shirt,"₹3,135",https://upcycleluxe.com/products/earth-republic-100-cotton-ikat-sable-handloom-shirt,earth-republic
117,Earth Republic 100% Oganic Merlot Sugarcane Top,"₹4,500",https://upcycleluxe.com/products/earth-republic-100-oganic-merlot-sugarcane-top,earth-republic
118,Earth Republic 100% Certified Sugarcane Kathryn Handcrafted Dress,"₹5,500",https://upcycleluxe.com/products/earth-republic-100-certified-sugarcane-kathryn-handcrafted-dress,earth-republic
119,Earth Republic 100% FSC Cerified Moss Sophia Handcrafted Top,"₹3,645",https://upcycleluxe.com/products/earth-republic-100-fsc-cerified-moss-sophia-handcrafted-top,earth-republic
120,Earth Republic 100% Cotton Ikat Cobalt Handloom Shirt,"₹3,135",https://upcycleluxe.com/products/earth-republic-100-cotton-ikat-cobalt-handloom-shirt,earth-republic
121,Earth Republic 100% Cotton Ikat Alice Handloom Dress,"₹6,200",https://upcycleluxe.com/products/earth-republic-100-cotton-ikat-alice-handloom-dress,earth-republic
122,Earth Republic 100% Cotton Ikat Amberella Handloom Dress,"₹5,700",https://upcycleluxe.com/products/earth-republic-100-cotton-ikat-amberella-handloom-dress,earth-republic
123,Earth Republic 100% Cotton Ikat Amber Handloom Shirt,"₹3,135",https://upcycleluxe.com/products/earth-republic-100-cotton-ikat-amber-handloom-shirt,earth-republic
124,Earth Republic 100% Cotton Ikat Ebony Handloom Co-Ord Set,"₹6,030",https://upcycleluxe.com/products/earth-republic-100-cotton-ikat-ebony-handloom-co-ord-set,earth-republic
125,Earth Republic 100% Cotton Ikat Ambereez Handloom Co-Ord Set,"₹6,030",https://upcycleluxe.com/products/earth-republic-100-cotton-ikat-ambereez-handloom-co-ord-set,earth-republic
126,Earth Republic 100% Recycled Satin Eliza Handcrafted Top,"₹3,600",https://upcycleluxe.com/products/earth-republic-100-recycled-satin-eliza-handcrafted-top,earth-republic
127,Earth Republic 100% Recycled Satin Fairy Dust Handcrafted Top,"₹3,990",https://upcycleluxe.com/products/earth-republic-100-recycled-satin-fairy-dust-handcrafted-top,earth-republic
128,Earth Republic 100% Sustainable Sugarcane Fabric White Cellar Handcrafted Shirt,"₹3,540",https://upcycleluxe.com/products/earth-republic-handcrafted-organic-cotton-men-shirt-online,earth-republic
129,Earth Republic 100% Sustainable Handcrafted Men's Shirt,"₹3,270",https://upcycleluxe.com/products/earth-republic-handcrafted-men-shirt-online,earth-republic
130,Earth Republic 100% Sustainable Moss Robert Handcrafted Shirt,"₹3,495",https://upcycleluxe.com/products/handcrafted-men-shirt-online,earth-republic
131,Earth Republic 100% Cotton Ikat Shvet Handloom Dress,"₹3,630",https://upcycleluxe.com/products/earth-republic-100-sustainable-moss-shvet-handcrafted-dress,earth-republic
